FI|SCH|ID|AU|FAU|AF1|AF2|AF3|CI|PAF|CN|AUID
LIL|rhs|biblio-621|Araújo, Marilia Gabriela de Azevedo||Universidade Federal do Rio Grande do Norte|||Curitiba|BR||
LIL|rhs|biblio-621|Lira, Ana Luisa Brandão de Carvalho||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|lil-656|Freitas Filho, Lincoln||||||||
LIL|rhs|biblio-679|Nunes, Emanuelle Caires Dias Araújo||Universidade Federal da Bahia|||Vitória da Conquista|BR||
LIL|rhs|biblio-679|Filho, Nilton Alves de Menezes||Universidade Federal da Bahia|||Vitória da Conquista|BR||
LIL|rhs|lil-687|Montes de Oca, Israel||||||||
LIL|rhs|lil-730|Mejía, Alfonso||||||||
LIL|rhs|lil-732|Haddad, Jorge||||||||
LIL|rhs|lil-732|Canales, Francisca H. de||||||||
LIL|rhs|lil-754|Godoy, Isaura Lopes de||||||||
LIL|rhs|lil-762|Nogueira, Diogo Pupo||||||||
LIL|rhs|lil-789|Yunes, Joäo||||||||
LIL|rhs|lil-789|Campos, Oswaldo||||||||
LIL|rhs|lil-902|Icaza, Susana J||||||||
LIL|rhs|lil-902|Triana, Marlene M. de||||||||
LIL|rhs|lil-902|Flores, Rafael||||||||
LIL|rhs|lil-963|Ruiz, Leobardo C||||||||
LIL|rhs|lil-963|Thalman, Emilio Lozoya||||||||
LIL|rhs|lil-963|Juan López, Mercedes||||||||
LIL|rhs|lil-963|Pérez García, Carlos||||||||
LIL|rhs|lil-963|Castrejón Díez, Jaime||||||||
LIL|rhs|lil-963|Herrera Moro, Carlos||||||||
LIL|rhs|lil-963|Kumate Rodríguez, Jesús||||||||
LIL|rhs|lil-963|Monroy Rivera, José R||||||||
LIL|rhs|lil-963|Nucha Macías, Rodolfo A. de||||||||
LIL|rhs|lil-963|Peregrina Pellón, Luis||||||||
LIL|rhs|lil-963|Zertuche Muñoz, Fernando||||||||
LIL|rhs|lil-970|Wainerman, Catalina||||||||
LIL|rhs|lil-970|Geldstein, Rosa||||||||
LIL|rhs|lil-974|Kritz, Ernesto||||||||
LIL|rhs|lil-974|Wainerman, Catalina, coord||||||||
LIL|rhs|lil-974|Geldstein, Rosa||||||||
LIL|rhs|lil-993|Stulhman, Luis||||||||
LIL|rhs|lil-993|Codina, Francisco||||||||
LIL|rhs|lil-996|Cedeño, Marlene||||||||
LIL|rhs|lil-996|Mera, Rosalba||||||||
LIL|rhs|lil-996|Rueda, Beatriz||||||||
LIL|rhs|lil-998|Abath, Guilherme Montenegro||||||||
LIL|rhs|lil-1010|Bond, Lydia S. L||||||||
LIL|rhs|biblio-1080|Ubaldo, Isabela||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1080|Matos, Eliane||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1080|Salum, Nádia Chiodelli||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1082|Neto, José Melquiades Ramalho||Universidade Federal da Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1082|Campos, Daniela Alves||Faculdade de Enfermagem Nova Esperança|||João Pessoa|BR||
LIL|rhs|biblio-1082|Marques,  Lailma Bento de Araújo||Universidade Federal da  Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1082|Ramalho, Carla Regina de Oliveira Couras||Universidade Federal da  Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1082|Nóbrega,  Maria Miriam Lima da||Universidade Federal da Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1086|Pereira, Mayara de Melo||a Prefeitura Munici pal de Icó|||Icó|BR||
LIL|rhs|biblio-1086|Penha, Thiffany Pestana da||Maternidade Frei Damião|||João Pessoa|BR||
LIL|rhs|biblio-1086|Vieira,  Daniele de Souza||Universidade Federal  da Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1086|Vaz, Elenice Maria Cecchetti||Universidade Federal Fluminense|||Niterói|BR||
LIL|rhs|biblio-1086|Santos, Nathaniely  Cristina Carvalho de Brito||Universidade Federal de Campina Grande|||Cutié|BR||
LIL|rhs|biblio-1086|Reichert, Altamira Pereira da Silva||Universidade Federal da  Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1118|Rossaneis, Mariana Angela||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1118|Gabriel, Carmen Silvia||Escola de Enfermagem de Ribeirão  Preto|||Ribeirão Preto|BR||
LIL|rhs|biblio-1118|Haddad,  Maria do Carmo Lourenço||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1118|Melo, Antonietto da Costa||Escola de Enfermagem de Ribeirão  Preto|||Ribeirão Preto|BR||
LIL|rhs|biblio-1118|Bernardes, Andrea||Escola de Enfermagem de Ribeirão  Preto|||Ribeirão Preto|BR||
LIL|rhs|biblio-1123|Santos, Danilo Marcelo Araujo dos||Uni versidade Federal do Maranhão|||São Luís|BR||
LIL|rhs|biblio-1123|Sousa, Francisca Georgina Macedo de||Universidade Fede ral do Maranhão|||São Luís|BR||
LIL|rhs|biblio-1123|Moreira, Thaís Marques||s.af|||São Luis|BR||
LIL|rhs|biblio-1123|Silva, Andréa Cristina  Oliveira||Universidade Fede ral do Maranhão|||São Luis|BR||
LIL|rhs|biblio-1123|Braga, Lorena Carvalho||Universitário da Universidade  Federal do Maranhão|||São Luis|BR||
LIL|rhs|biblio-1125|Cestar, Virna Ribeiro Feitosa||Universidade de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1125|Sampaio, Luís Rafael Leite||Universidade de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1125|Barbosa, Islene Victor||Universidade de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1125|Studart, Rita Mônica Borges||Universidade de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1125|Moura, Bruna Bárbara  Fernandes||Universidade de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1125|Araújo, Ana Rachel Cavalcante||niversidade Estadual do Ceará|||Fortaleza|BR||
LIL|rhs|biblio-1128|Pedrosa, Karilena Karlla Amorim||Universidade Federal do Ri o Grande do Norte|||Natal|BR||
LIL|rhs|biblio-1128|Oliveira,  Isabelle Christine Marinho||Universidade Federal do Ri o Grande do Norte|||Natal|BR||
LIL|rhs|biblio-1128|Feijão, Alexsandra Rodrigues||Universidade Federal do Rio Grande  do Norte|||Natal|BR||
LIL|rhs|biblio-1128|Machado,  Regimar Carla||Universidade Federal  de São Carlos|||São Carlos|BR||
LIL|rhs|biblio-1132|Luchtemberg, Marilene Nonnemacher||Escola Superior de Criciúma|||Criciúma|BR||
LIL|rhs|biblio-1132|Pires, Denise Elvira Pires de||Universidade  Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1148|Silva, Elaine Soares da||Secretaria de Saúde do Espírito Santo|||Vitória|BR||
LIL|rhs|biblio-1148|Castro, Denise Silveira de||Universidade Federal do Espírito Santo|||Vitória|BR||
LIL|rhs|biblio-1148|Romero, Walckiria Garcia||Universidade Federal do Espírito Santo|||Vitória|BR||
LIL|rhs|biblio-1148|Garcia, Telma Ribeiro||Universidade Federal da Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1148|Primo, Cândida Caniçali||Universidade Federal do Espírito  Santo|||Vitória|BR||
LIL|rhs|biblio-1149|Souza, Verusca Soares de||niversidade Estadual do Paraná|||Paranavaí|BR||
LIL|rhs|biblio-1149|Kawamoto, Andressa Morello||Universidade Estadual  do Oeste do Paraná|||Cascavel|BR||
LIL|rhs|biblio-1149|Oliveira, João Lucas Campos de||niversidade Estadual do Oeste do Paraná|||Cascavel|BR||
LIL|rhs|biblio-1149|Tonini,  Nelsi Salete||Universidade Estadual do Oeste do Paraná|||cascavel|BR||
LIL|rhs|biblio-1149|Fernandes, Luciana  Magnani||Universidade Estadual do Oeste do Paraná|||Cascavel|BR||
LIL|rhs|biblio-1149|Nicola, Anair Lazzari|||||niversidade Estadual do Oeste do Paraná|BR||
LIL|rhs|biblio-1173|Pias, Caroline||||||||
LIL|rhs|biblio-1173|Mascolo, Nicole de Paula||Instituto de Cardiologia ­ Fundação Universitária|||Porto Alegre|BR||
LIL|rhs|biblio-1173|Rabelo-Silva,  Eneida Rejane||Universidade Federal do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|biblio-1173|Linch, Graciele Fernanda da Costa||Universidade Federal de Ciências da  Saúde de Porto Alegre|||Porto Alegre|BR||
LIL|rhs|biblio-1173|Souza, Emiliane Nogueira de||Universidade Federal de  Ciências da Saúde de Porto Alegre|||Porto Alegre|BR||
LIL|rhs|biblio-1179|Draganoc, Patricia Bover||Universidade Federal de São Paulo|||São Bernardo do Campo|BR||
LIL|rhs|biblio-1179|Sanna, Maria Cristina||Universidade Federal de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1182|Baggio, Maria Aparecida||Universidade Estadual do Oeste do  Paraná|||Cascavel|BR||
LIL|rhs|biblio-1182|Erdmann, Alacoque Lorenzini||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1183|Araújo, Ana Rachel Cavalcante||niversidade Estadual do Ceará|||Fortaleza|BR||
LIL|rhs|biblio-1183|Paula, Edilane Perote de||Universidade de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1183|Cestari, Virna Ribeiro Feitosa||Universidade de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1183|Barbosa, Islene Victor||Universidade de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1183|Carvalho, Zuíla Maria  de Figueiredo||Universidade Federal do Ceará|||Fortaleza|BR||
LIL|rhs|biblio-1235|Martins, Júlia Trevisan||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1235|Galdino, Maria José Quina||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1235|Garanhani,  Mara Lúcia||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1235|Sammi, Keity Mayumi||s.af|||Londrina|BR||
LIL|rhs|biblio-1235|Trevisan, Gabriela Schmitt||Universidade do Oeste Paulista|||Presidente Prudente|BR||
LIL|rhs|biblio-1236|Rocha, Layrianne Emmanuely Silva||Secretaria Municipal de Saúde|||Jaíba|BR||
LIL|rhs|biblio-1236|Ruas,  Edna de Freitas Gomes||Universidade Estadual de Montes Claros|||Montes Claros|BR||
LIL|rhs|biblio-1236|Santos, Jaciara Aparecida Dias||Universidade Estadual de Montes Claros|||Montes Claros|BR||
LIL|rhs|biblio-1236|Lima,  Cássio de Almeida||Universidade Federal dos Vales do Jequitinhonha e Mucuri|||Diamantina|BR||
LIL|rhs|biblio-1236|Carneiro, Jair Almeida||Faculdades Integradas Pitágoras de Montes Claros|||Montes Claros|BR||
LIL|rhs|biblio-1236|Costa, Fernanda Marques da||Faculdades Integradas Pitágoras de Montes Claros|||Montes Claros|BR||
LIL|rhs|biblio-1237|Medeiros, Ana Lúcia de||Faculdade Internacional da Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1237|Freitas, Talita Bezerra||Faculdade Internacional da Paraíba|||João Pessoa|BR||
LIL|rhs|biblio-1237|Araújo, Juliana Sousa Soares de||Faculdade de Ciências Médicas|||João Pessoa|BR||
LIL|rhs|biblio-1237|Mattos, Sandra da Silva||Real Hospital Português de Beneficência em Pernambuco|||João Pessoa|BR||
LIL|rhs|biblio-1239|Freitas, Luana Souza||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-1239|Queiroz, Cintia Galvão||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-1239|Medeiros, Lays Pinheiro de||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-1239|Melo, Marjorie Dantas Medeiros||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-1239|Andrade, Rosane Sousa de||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-1239|Costa, Isabelle Katherinne Fernandes||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-1240|Telles, Anna Cláudia Maurício||Hospital Universitário de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1240|Baptista, Patrícia Campos Pavan||Universidade de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1240|Vasconcelos, Lucinda Helena da Silva de||Universidade de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1240|Bernardes, Carolina Luiza||Faculdade Oswaldo Cruz|||São Paulo|BR||
LIL|rhs|biblio-1240|Ratier,  Ana Paula Pelegrini||Universidade de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1262|Araujo, Diogo Dias||Instituto do Câncer do Estado de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1262|Rodrigues, Andrea Bezerra||Universidade Federal do Ceará|||Fortaleza|BR||
LIL|rhs|biblio-1262|Oliveira, Patrícia Peres de||Universidade Federal de São João Del-Rei|||Divinópolis|BR||
LIL|rhs|biblio-1262|Silva, Lívia Silveira||Instituto do Câncer do Estado de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1262|Vecchia, Bianca Penido||Instituto do Câncer do Estado de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1262|Silveira, Edilene Aparecida Araújo da||Universidade Federal de São João del-Rei|||Divinópolis|BR||
LIL|rhs|biblio-1263|Majczak, Jéssica Aparecida||Pontifícia Universidade Católica do Paraná|||Curitiba|BR||
LIL|rhs|biblio-1263|Hohl, Marilin||Pontifícia Universidade Católica do Paraná|||Curitiba|BR||
LIL|rhs|biblio-1265|Pereira, Francisco Gilberto Fernandes||Centro Universitário Estácio do Ceará|||Fortaleza|BR||
LIL|rhs|biblio-1265|Caetano,  Joselany Áfio||Universidade Federal do Ceará|||Fortaleza|BR||
LIL|rhs|biblio-1265|Moreira, Juliana Faheina||Hospital Antonio Prudente|||Fortaleza|BR||
LIL|rhs|biblio-1265|Ataíde, Márcia Barroso Camilo de||Universidade Federal do Ceará|||Fortaleza|BR||
LIL|rhs|biblio-1267|Stanganelli, Nathanye Crystal||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1267|Ribeiro, Renata Perfeito||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1267|Claudio, Caroline Vieira||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1267|Claudio, Caroline Vieira||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1267|Martins, Júlia Trevisan||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1267|Ribeiro, Patricia Helena Vivan||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1267|Ribeiro, Benedita Gonçalves de Assis||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-1268|Mafra, Melissa dos Reis Pinto||Prefeitura Municipal de Curitiba|||Curitiba|BR||
LIL|rhs|biblio-1268|Chaves, Maria Marta Nolasco||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-1268|Larocca, Liliana Müller||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-1268|Piosiadlo, Laura Christina Macedo||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-1270|Malaquias, Tatiana da Silva Melo||Universidade Estadual do Centro-Oeste|||Guarapuava|BR||
LIL|rhs|biblio-1270|Baldissera, Vanessa Antoniassi Denardi||Universidade Estadual de Maringá|||Maringá|BR||
LIL|rhs|biblio-1270|Higarashi, Ieda Harumi||Universidade Estadual de Maringá|||Maringá|BR||
LIL|rhs|biblio-1311|Lopes, Mislaine Casagrande de Lima||Universidade Estadual de Maringá|Departamento de Enfermagem||Maringá|BR||
LIL|rhs|biblio-1311|Marcon, Sonia Silva||Universidade Estadual de Maringá|Programa de Pós-graduação em Enfermagem||Maringá|BR||
LIL|rhs|biblio-1337|Frota, Mirna Albuquerque||Universidade de Fortaleza|Departamento de Enfermagem|Programa de Pós-graduação em Saúde Coletiva|Fortaleza|BR||
LIL|rhs|biblio-1337|Ramos, Raquel Passos||Escola de Saúde Pública do Ceará|||Fortaleza|BR||
LIL|rhs|biblio-1337|Mourão, Sarah Jamylle Gomes||Hospital Geral de Fortaleza|||Fortaleza|BR||
LIL|rhs|biblio-1337|Vasconcelos, Viviane Mamede||Universidade Federal do Ceará|Programa de Pós-graduação em Enfermagem||Fortaleza|BR||
LIL|rhs|biblio-1337|Martins, Mariana Cavalcante||Universidade de Fortaleza|Departamento de Enfermagem|Programa de Pós-graduação em Saúde Coletiva|Fortaleza|BR||
LIL|rhs|biblio-1337|Araújo, Maria Alix Leite||Universidade de Fortaleza|Departamento de Enfermagem|Programa de Pós-graduação em Saúde Coletiva|Fortaleza|BR||
LIL|rhs|biblio-1430|Cerqueira,  Janaina Pontes||Ministério da Saúde|Secretaria de Gestão do Trabalho e da Educação na Saúde||Brasília|BR||
LIL|rhs|biblio-1430|Campos Alves, Sandra Mara||Fundação Oswaldo Cruz|||Brasília|BR||
LIL|rhs|biblio-1449|Guimarães, Eliane Marina Palhares||Universidade Federal de Minas Gerais|||Belo Horizonte|BR||
LIL|rhs|biblio-1449|Godoy, Solange Cervinho Bicalho||Universidade Federal de Minas Gerais|||Belo Horizonte|BR||
LIL|rhs|biblio-1449|Villela,  Lenice de Castro Mendes||Universidade Federal de Minas Gerais|||Belo Horizonte|BR||
LIL|rhs|biblio-1449|Mafaldo, Jéssica Diniz Schettini||Universidade Federal de Minas Gerais|||Belo Horizonte|BR||
LIL|rhs|biblio-1450|Okuno, Meiry Fernanda Pinto||Universidade Federal de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1450|Costa,  Natalha da||Associação Saúde da Família|||São Paulo|BR||
LIL|rhs|biblio-1450|Lopes, Maria Carolina Barbosa Teixeira||Universidade Federal de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1450|Campanharo, Cássia Regina Vancini||Universidade Federal de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1450|Batista, Ruth Ester Assayag||Universidade Federal de São Paulo|||São Paulo|BR||
LIL|rhs|biblio-1452|Cogo, Ana Luísa Petersen||Universidade Federal do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|biblio-1452|Czerwinsk, Gabriela Petró Valli||Universidade Federal do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|biblio-1452|Bonmann, Débora Marie da Silva||Universidade Federal do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|biblio-1452|Durlo, Jamile Araujo||Universidade Federal do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|biblio-1452|Pereira, Karema da Conceição||Universidade Federal do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|biblio-1453|Rosa, Luciana Martins da||Hospital Universitário da Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1453|Misiak, Marciele||Instituto Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1453|Marinho, Monique Mendes||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1453|Ilha, Patrícia||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1453|Radünz, Vera||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1453|Fermo, Vivian Costa||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1454|Merces, Ana Monalisa Ferreira||Universidade Federal de Pernambuco|||Recife|BR||
LIL|rhs|biblio-1454|Souza, Bruna de Medeiros Leite||Universidade Federal de Pernambuco|||Recife|BR||
LIL|rhs|biblio-1454|Silva, Tatiane Lins da||Universidade Federal de Pernambuco|||Recife|BR||
LIL|rhs|biblio-1454|Silva, Thassia Thame de Moura||Universidade Federal de Pernambuco|||Recife|BR||
LIL|rhs|biblio-1454|Cavalcanti,  Ana Márcia Tenório de Souza||Universidade Federal de Pernambuco|||Recife|BR||
LIL|rhs|biblio-1458|Piccoli, Talita||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1458|Nunes, Simony Fabiola Lopes||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1458|Tramontina, Priscilla Cibele||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1458|Oliveira, Roberta Juliane Tono de||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1458|Santos, Evanguelia Kotzias Atherino dos||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1458|Amante, Lúcia Narazeth||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1487|Duarte, Sabrina da Costa Machado||Universidade Federal do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|biblio-1487|Bessa, Amanda Trindade Teixeira||Universidade Federal do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|biblio-1487|Büscher, Andreas||Hochschule Osnabrück ­ Fakultät Wirtschafts und Sozialwissenschaften|||Osnabrück|DE||
LIL|rhs|biblio-1487|Stipp, Marluci Andrade Conceição||Universidade Federal do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|biblio-1488|Reis, Adriana Teixeira||Universidade do Estado do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|biblio-1488|Santos, Rosângela da Silva||Universidade do Estado do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|biblio-1488|Caires, Tharine Louise Gonçalves||Universidade do Estado do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|biblio-1488|Passos,  Renata dos Santos||Universidade do Estado do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|biblio-1488|Fernandes, Lidya Elisa Pereira||Universidade do Grande Rio|||Rio de Janeiro|BR||
LIL|rhs|biblio-1488|Marques,  Patrícia de Araújo||FIOCRUZ|||Rio de Janeiro|BR||
LIL|rhs|biblio-1489|Ilha, Patrícia||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-1489|Radünz, Vera||Universidade Federal de Santa Catarina|||Florianópolis|BR||
